,max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
51,1.364e-05,0.135,0.565,2.622,7.216,6.55,STARLINK-2463,STARLINK-2703,48122-48452,2022-05-20 01:25:10.718,2022 May 20 01:25:08.823,2022 May 20 01:25:12.613,2022-05-14 12:12:36,48122,48452,2022-05-20 01:25:00
52,2.987e-05,0.095,0.365,6.962999999999999,2.0780000000000003,2.21,STARLINK-2312,STARLINK-2703,47980-48452,2022-05-13 23:52:03.610,2022 May 13 23:52:02.894,2022 May 13 23:52:04.327,2022-05-13 01:30:39,47980,48452,2022-05-13 23:50:00
53,2.241e-05,0.11699999999999999,0.397,9.613999999999999,6.227,6.744,STARLINK-2547,STARLINK-2693,48286-48461,2022-05-22 15:53:31.519,2022 May 22 15:53:31.001,2022 May 22 15:53:32.038,2022-05-17 12:13:07,48286,48461,2022-05-22 15:55:00
54,1.24e-05,0.14400000000000002,0.584,4.645,5.985,5.791,STARLINK-2693,STARLINK-2255,48461-48597,2022-05-20 05:53:09.706,2022 May 20 05:53:08.636,2022 May 20 05:53:10.775,2022-05-15 12:14:00,48461,48597,2022-05-20 05:55:00
55,1.097e-05,0.159,0.598,7.39,7.053999999999999,6.814,STARLINK-2098,STARLINK-2235,47378-48581,2022-05-24 09:32:23.520,2022 May 24 09:32:22.848,2022 May 24 09:32:24.192,2022-05-18 12:19:33,47378,48581,2022-05-24 09:30:00
56,0.0003411,0.027000000000000003,0.111,4.646,6.582000000000001,6.832000000000001,STARLINK-2214,STARLINK-2235,48566-48581,2022-05-22 01:58:10.423,2022 May 22 01:58:09.347,2022 May 22 01:58:11.499,2022-05-16 12:12:38,48566,48581,2022-05-22 02:00:00
57,1.653e-05,0.124,0.508,4.152,7.71,6.867999999999999,STARLINK-2667,STARLINK-2751,48663-48685,2022-04-30 18:50:26.132,2022 Apr 30 18:50:24.934,2022 Apr 30 18:50:27.330,2022-04-24 20:20:52,48663,48685,2022-04-30 18:50:00
58,2.985e-05,0.10099999999999999,0.344,9.615,4.952,5.186,STARLINK-2472,STARLINK-2751,48130-48685,2022-04-28 02:28:08.012,2022 Apr 28 02:28:07.494,2022 Apr 28 02:28:08.531,2022-04-24 12:19:28,48130,48685,2022-04-28 02:30:00
59,1.568e-05,0.136,0.488,8.584,4.92,5.156000000000001,STARLINK-1708,STARLINK-2751,46580-48685,2022-04-27 01:44:27.247,2022 Apr 27 01:44:26.667,2022 Apr 27 01:44:27.827,2022-04-23 12:15:40,46580,48685,2022-04-27 01:45:00
60,1.426e-05,0.13699999999999998,0.532,6.521,4.325,3.5239999999999996,STARLINK-1263,STARLINK-2617,45405-48689,2022-05-14 02:35:00.992,2022 May 14 02:35:00.230,2022 May 14 02:35:01.755,2022-05-11 11:58:20,45405,48689,2022-05-14 02:35:00
61,1.27e-05,0.141,0.579,4.15,2.668,2.521,STARLINK-2707,STARLINK-2617,48669-48689,2022-05-14 10:30:25.135,2022 May 14 10:30:23.938,2022 May 14 10:30:26.332,2022-05-13 01:30:39,48669,48689,2022-05-14 10:30:00
62,1.524e-05,0.14300000000000002,0.47700000000000004,9.943999999999999,3.6069999999999998,3.141,STARLINK-2278,STARLINK-2616,48026-48695,2022-05-13 01:22:45.658,2022 May 13 01:22:45.158,2022 May 13 01:22:46.159,2022-05-11 03:57:58,48026,48695,2022-05-13 01:25:00
63,0.00010959999999999998,0.052000000000000005,0.183,8.935,2.565,2.8569999999999998,STARLINK-2634,STARLINK-2616,48445-48695,2022-05-12 10:34:38.423,2022 May 12 10:34:37.864,2022 May 12 10:34:38.982,2022-05-10 20:40:26,48445,48695,2022-05-12 10:35:00
64,3.851e-05,0.091,0.297,10.222000000000001,6.4270000000000005,6.676,STARLINK-2015,STARLINK-2753,47638-48696,2022-04-30 00:14:10.251,2022 Apr 30 00:14:09.763,2022 Apr 30 00:14:10.739,2022-04-24 20:20:52,47638,48696,2022-04-30 00:15:00
65,2.353e-05,0.107,0.414,6.51,7.145,7.285,STARLINK-1687,STARLINK-2753,46541-48696,2022-04-28 08:42:47.461,2022 Apr 28 08:42:46.695,2022 Apr 28 08:42:48.226,2022-04-22 20:15:06,46541,48696,2022-04-28 08:45:00
66,1.753e-05,0.12,0.493,4.143,6.218,6.289,STARLINK-2116,STARLINK-2753,47724-48696,2022-04-27 08:47:24.817,2022 Apr 27 08:47:23.617,2022 Apr 27 08:47:26.018,2022-04-22 20:15:06,47724,48696,2022-04-27 08:45:00
67,1.805e-05,0.131,0.441,9.783999999999999,6.426,5.945,STARLINK-2030,STARLINK-3278,47647-50830,2022-05-06 20:40:48.880,2022 May 06 20:40:48.371,2022 May 06 20:40:49.389,2022-05-01 17:23:54,47647,50830,2022-05-06 20:40:00
68,1.356e-05,0.142,0.54,7.172999999999999,6.746,6.492999999999999,STARLINK-2408,STARLINK-3278,47823-50830,2022-05-06 09:49:39.802,2022 May 06 09:49:39.109,2022 May 06 09:49:40.495,2022-05-01 12:52:48,47823,50830,2022-05-06 09:50:00
69,0.00016219999999999999,0.043,0.14800000000000002,9.477,5.649,6.13,STARLINK-2362,STARLINK-3278,47902-50830,2022-05-06 01:07:38.046,2022 May 06 01:07:37.519,2022 May 06 01:07:38.574,2022-05-01 12:52:47,47902,50830,2022-05-06 01:10:00
