max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
2.24e-05,0.107,0.43200000000000005,5.132000000000001,7.185,7.312,STARLINK-1596,STARLINK-1926,46141-46757,2022-05-22 15:55:45.272,2022 May 22 15:55:44.301,2022 May 22 15:55:46.243,2022-05-16 20:30:08,46141,46757,2022-05-22 15:55:00
1.668e-05,0.121,0.514,0.53,5.756,5.755,STARLINK-1838,STARLINK-1850,47129-47138,2022-05-22 23:02:48.561,2022 May 22 23:02:39.179,2022 May 22 23:02:57.943,2022-05-18 12:19:33,47129,47138,2022-05-22 23:05:00
1.078e-05,0.154,0.626,4.645,7.178999999999999,7.317,STARLINK-1848,STARLINK-1927,46740-47181,2022-05-16 13:54:22.662,2022 May 16 13:54:21.594,2022 May 16 13:54:23.729,2022-05-10 20:40:26,46740,47181,2022-05-16 13:55:00
1.032e-05,0.19,0.53,12.124,7.166,6.5120000000000005,STARLINK-1927,STARLINK-2234,47181-48580,2022-05-16 10:16:51.155,2022 May 16 10:16:50.745,2022 May 16 10:16:51.565,2022-05-11 03:57:58,47181,48580,2022-05-16 10:15:00
4.34e-05,0.075,0.319,0.529,5.4239999999999995,5.556,STARLINK-1201,STARLINK-2104,45182-47384,2022-05-27 20:48:02.407,2022 May 27 20:47:52.966,2022 May 27 20:48:11.848,2022-05-31 01:26:20,45182,47384,2022-05-27 20:50:00
1.246e-05,0.16,0.523,10.222999999999999,5.763999999999999,5.5489999999999995,STARLINK-1638,STARLINK-2104,46134-47384,2022-05-27 20:36:54.925,2022 May 27 20:36:54.439,2022 May 27 20:36:55.412,2022-05-31 01:26:21,46134,47384,2022-05-27 20:35:00
5.920000000000001e-05,0.067,0.261,6.511,5.229,5.42,STARLINK-2114,STARLINK-1528,47393-47620,2022-05-23 14:01:46.849,2022 May 23 14:01:46.082,2022 May 23 14:01:47.616,2022-05-19 11:42:51,47393,47620,2022-05-23 14:00:00
1.332e-05,0.136,0.5760000000000001,0.529,6.784,6.784,STARLINK-2114,STARLINK-2624,47393-48358,2022-05-19 19:57:48.123,2022 May 19 19:57:38.738,2022 May 19 19:57:57.507,2022-05-14 12:12:36,47393,48358,2022-05-19 20:00:00
2.547e-05,0.11699999999999999,0.349,11.437000000000001,3.908,4.725,STARLINK-2028,MINOTAUR 4 DEB,47646-51451,2022-05-22 02:21:42.212,2022 May 22 02:21:41.776,2022 May 22 02:21:42.648,2022-05-19 04:50:57,47646,51451,2022-05-22 02:20:00
1.045e-05,0.18600000000000003,0.6890000000000001,7.795,7.155,7.069,STARLINK-2028,TAURUS R/B,47646-26103,2022-05-20 15:14:07.556,2022 May 20 15:14:06.921,2022 May 20 15:14:08.192,2022-05-14 20:18:07,47646,26103,2022-05-20 15:15:00
